KTS      S        FD       KD       FT
2        7        0        0        0        
2        6        0        0        0        
2        5        0        0        0        
3        9        0        0        0        
3        3        0        1        1        
4        11       0        0        0        
6        12       0        1        1        
6        18       0        0        0        
6        14       0        0        0        
7        15       0        1        1        
7        17       0        1        1        
7        20       0        0        0        
7        19       1        0        1        
8        22       0        0        0        
8        23       0        0        0        
9        25       0        0        0        
10       26       0        0        0        
12       31       0        0        0        
12       28       0        1        1        
12       33       0        0        0        
12       29       0        0        0        
13       34       0        1        1        
13       32       0        1        1        
13       37       0        0        0        
13       39       0        0        0        
13       38       0        0        0        
14       40       0        0        0        
15       42       0        0        0        
16       41       0        1        1        
16       43       0        0        0        
17       47       0        0        0        
17       46       0        0        0        
17       44       0        0        0        
18       49       0        0        0        
18       45       0        1        1        
19       48       0        1        1        
19       50       0        0        0        
20       51       0        0        0        
21       53       0        0        0        
21       52       0        1        1        
23       54       0        1        1        
24       56       0        0        0        
25       57       0        0        0        
26       58       0        0        0        
28       62       0        0        0        
29       63       0        0        0        
29       61       0        1        1        
30       64       0        0        0        
30       65       0        0        0        
31       67       0        0        0        
32       68       0        0        0        
33       69       0        1        1        
34       70       0        1        1        
35       72       0        0        0        
36       73       0        0        0        
39       76       0        0        0        
39       75       0        1        1        
39       77       0        0        0        
40       78       0        0        0        
41       80       0        0        0        
41       81       0        0        0        
42       82       0        0        0        
43       85       0        0        0        
43       84       0        0        0        
43       83       0        0        0        
44       87       0        0        0        
45       86       0        1        1        
45       88       0        0        0        
46       89       0        0        0        
47       92       0        0        0        
47       90       0        1        1        
48       93       0        0        0        
49       94       0        0        0        
50       97       0        0        0        
51       96       0        1        1        
51       95       0        1        1        
51       100      0        0        0        
52       102      0        0        0        
52       105      0        0        0        
52       108      0        0        0        
52       107      0        0        0        
52       101      0        0        0        
53       106      0        1        1        
53       109      0        0        0        
55       112      0        0        0        
56       115      0        0        0        
56       113      0        1        1        
58       116      0        1        1        
58       117      0        0        0        
60       121      0        0        0        
60       119      0        1        1        
61       122      0        0        0        
63       124      0        1        1        
67       130      0        1        1        
67       129      0        1        1        
68       131      0        1        1        
68       133      0        0        0        
69       132      0        1        1        
70       136      0        0        0        
70       134      0        1        1        
71       138      0        0        0        
72       140      0        0        0        
73       144      0        0        0        
74       147      0        0        0        
74       141      0        1        1        
74       146      0        0        0        
75       148      0        1        1        
75       149      0        0        0        
76       150      0        0        0        
76       152      0        0        0        
77       154      0        0        0        
77       151      0        1        1        
78       161      0        0        0        
78       160      0        0        0        
78       159      0        0        0        
78       156      0        0        0        
79       157      0        1        1        
80       163      0        0        0        
81       164      0        1        1        
81       165      0        0        0        
83       166      0        1        1        
83       172      0        0        0        
83       167      0        1        1        
84       173      0        0        0        
84       170      0        1        1        
84       168      0        1        1        
84       171      0        1        1        
85       174      0        0        0        
86       175      0        0        0        
88       176      0        1        1        
88       177      0        0        0        
89       180      0        0        0        
89       179      0        0        0        
90       181      0        0        0        
91       182      0        0        0        
91       183      0        0        0        
93       184      0        1        1        
93       186      0        0        0        
94       187      0        0        0        
95       188      0        0        0        
96       191      0        0        0        
96       189      0        0        0        
96       190      0        0        0        
98       192      0        1        1        
99       193      0        1        1        
99       196      0        0        0        
99       198      0        0        0        
100      199      0        1        1        
100      201      0        0        0        
100      197      0        1        1        
102      207      0        0        0        
102      204      0        0        0        
104      209      0        1        1        
104      210      0        0        0        
105      211      0        1        1        
107      215      0        1        1        
107      216      0        0        0        
108      218      0        0        0        
108      217      0        1        1        
109      219      0        1        1        
110      221      0        0        0        
110      220      0        1        1        
113      227      0        0        0        
113      225      0        0        0        
113      224      0        1        1        
114      226      0        1        1        
114      229      0        0        0        
115      231      0        0        0        
115      234      0        0        0        
116      235      0        0        0        
116      230      0        1        1        
116      233      0        1        1        
117      236      0        0        0        
118      238      0        0        0        
118      237      0        0        0        
119      240      0        0        0        
120      244      0        0        0        
120      239      0        1        1        
122      247      0        0        0        
123      248      0        0        0        
124      249      0        0        0        
126      252      0        0        0        
126      251      0        0        0        
126      254      0        0        0        
126      250      0        1        1        
126      253      0        0        0        
127      255      0        1        1        
128      257      0        1        1        
129      260      0        0        0        
130      261      0        0        0        
131      266      0        0        0        
131      264      0        1        1        
131      265      0        1        1        
131      263      0        1        1        
131      262      0        1        1        
132      267      0        0        0        
133      269      0        0        0        
133      268      0        1        1        
133      274      0        0        0        
133      273      0        0        0        
134      272      0        1        1        
134      271      1        0        1        
135      275      0        1        1        
136      276      0        1        1        
137      279      0        0        0        
137      277      0        1        1        
140      281      0        1        1        
141      283      0        0        0        
141      285      0        0        0        
142      286      0        0        0        
143      287      0        0        0        
143      288      0        0        0        
144      291      0        0        0        
145      294      0        0        0        
146      295      0        1        1        
146      292      0        1        1        
147      297      0        0        0        
148      298      0        0        0        
148      299      0        0        0        
149      303      0        0        0        
149      300      0        1        1        
150      305      0        0        0        
150      304      0        0        0        
151      306      0        0        0        
152      309      0        0        0        
152      307      0        0        0        
153      314      0        0        0        
153      308      0        1        1        
153      311      0        1        1        
154      313      0        1        1        
155      315      0        1        1        
155      317      0        0        0        
156      318      0        0        0        
156      324      0        0        0        
156      320      0        0        0        
157      327      0        0        0        
157      322      0        1        1        
157      329      0        0        0        
157      328      0        0        0        
157      323      0        1        1        
158      330      0        0        0        
159      331      0        0        0        
160      333      0        0        0        
160      332      0        0        0        
161      334      0        0        0        
161      335      0        0        0        
161      336      0        0        0        
162      337      0        0        0        
163      338      0        0        0        
164      342      0        0        0        
164      343      0        0        0        
164      344      0        0        0        
166      347      0        0        0        
166      346      0        1        1        
168      348      0        1        1        
168      349      0        0        0        
169      350      0        0        0        
170      351      0        1        1        
170      352      0        0        0        
171      356      0        0        0        
171      355      0        0        0        
172      357      0        1        1        
172      353      0        1        1        
173      359      0        0        0        
175      362      0        0        0        
176      361      0        1        1        
177      365      0        0        0        
177      363      0        1        1        
177      364      0        0        0        
179      366      0        1        1        
179      367      0        0        0        
180      368      0        0        0        
180      369      0        0        0        
181      370      0        1        1        
181      371      0        0        0        
183      373      0        0        0        
183      375      0        0        0        
184      377      0        0        0        
184      376      0        1        1        
184      378      0        0        0        
184      379      0        0        0        
184      374      0        1        1        
185      380      0        0        0        
185      381      0        0        0        
187      385      0        0        0        
188      387      0        0        0        
188      384      0        1        1        
190      389      0        0        0        
191      391      0        1        1        
191      392      0        0        0        
193      394      0        0        0        
193      393      0        1        1        
194      395      0        0        0        
195      397      0        0        0        
195      396      0        1        1        
196      399      0        0        0        
197      401      0        0        0        
197      398      0        1        1        
199      405      0        0        0        
199      402      0        1        1        
200      404      0        1        1        
201      410      0        0        0        
201      409      0        0        0        
201      411      0        0        0        
201      406      0        1        1        
202      407      0        1        1        
204      413      0        1        1        
204      414      0        0        0        
205      415      0        0        0        
205      417      0        0        0        
206      418      0        0        0        
206      416      0        1        1        
207      419      0        0        0        
208      420      0        0        0        
209      421      0        0        0        
211      423      0        1        1        
212      425      0        0        0        
213      426      0        0        0        
214      428      0        0        0        
215      429      0        0        0        
217      430      0        1        1        
218      432      0        0        0        
220      436      0        0        0        
220      434      0        0        0        
221      437      0        0        0        
221      435      0        1        1        
224      439      0        1        1        
224      440      0        0        0        
225      442      0        0        0        
225      441      0        0        0        
227      443      0        1        1        
227      445      0        1        1        
228      448      0        0        0        
229      449      0        1        1        
229      447      0        1        1        
230      452      0        0        0        
231      454      0        0        0        
231      451      0        1        1        
231      453      0        1        1        
231      455      0        0        0        
233      457      0        0        0        
235      460      0        0        0        
235      459      0        0        0        
236      463      0        0        0        
236      462      0        0        0        
237      461      0        1        1        
238      464      0        1        1        
239      466      0        0        0        
239      465      0        1        1        
240      467      0        0        0        
241      468      0        1        1        
242      473      0        0        0        
242      472      0        0        0        
242      469      0        1        1        
242      470      0        0        0        
243      475      0        0        0        
243      476      0        0        0        
244      474      0        1        1        
245      477      0        1        1        
246      480      0        0        0        
246      479      0        1        1        
247      481      0        1        1        
248      486      0        0        0        
249      487      0        0        0        
251      488      0        1        1        
251      489      0        0        0        
252      492      0        0        0        
252      490      0        1        1        
253      493      0        1        1        
255      497      0        0        0        
256      498      0        1        1        
256      500      0        0        0        
257      499      0        1        1        
258      503      0        0        0        
258      501      0        1        1        
259      505      0        0        0        
260      506      0        1        1        
260      504      0        1        1        
261      509      0        1        1        
261      510      0        0        0        
262      511      0        1        1        
263      513      0        1        1        
264      516      0        0        0        
264      514      0        1        1        
264      515      0        0        0        
264      517      0        0        0        
265      518      0        0        0        
266      520      0        0        0        
266      522      0        0        0        
267      523      0        0        0        
267      524      0        0        0        
268      525      0        1        1        
